name	name_en	geometry	rank	federal_subject	population_2023_estimate	population_2021_census	change	land_area_km2	pop_density_per_km2
Удмуртия	Udmurtia	POLYGON ((54.377579 56.3787016, 53.8410198 56.5967205, 53.8058992 56.8195402, 54.020411900000006 56.753196200000005, 54.436131 57.0310043, 53.78559930000001 58.4555384, 53.2136919 58.40136139999999, 53.09898090000001 58.5458421, 51.7870137 58.3618318, 51.9549124 57.7646255, 51.1241646 57.2432772, 51.53623210000001 56.8852293, 51.1276926 56.5118283, 51.4440082 56.12737580000001, 51.47342939999999 55.911487399999984, 52.156221599999995 55.9043979, 52.2429845 56.098086200000004, 52.751664299999995 55.9882036, 52.882179300000004 56.15984709999999, 52.555310000000006 56.2428635, 53.0332235 56.5431341, 53.0641477 56.12980830000001, 53.3328297 56.06210630000001, 53.23825110000001 56.245413500000005, 53.57533190000001 56.236980800000005, 53.240618500000004 55.8721666, 53.6974777 55.92559830000001, 54.377579 56.3787016))	32	Udmurtia	1442292	1452914	−0.73%	42061	34.29
Татарстан	Tatarstan	POLYGON ((53.5006057 54.0561286, 53.6493044 54.9065858, 53.1582942 55.16571650000001, 53.616626 55.214322800000005, 54.265697100000004 55.7037564, 53.6974777 55.92559830000001, 53.240618500000004 55.8721666, 53.57533190000001 56.236980800000005, 53.23825110000001 56.245413500000005, 53.3328297 56.06210630000001, 53.0641477 56.12980830000001, 53.0332235 56.5431341, 52.555310000000006 56.2428635, 52.882179300000004 56.15984709999999, 52.751664299999995 55.9882036, 52.2429845 56.098086200000004, 52.156221599999995 55.9043979, 51.47342939999999 55.911487399999984, 51.4440082 56.12737580000001, 50.87548759999999 56.19621220000001, 50.3456924 56.6746609, 50.08142349999999 56.6111768, 49.970483699999996 56.4313809, 49.75610280000001 56.5372145, 49.0515639 56.344789899999995, 48.3955848 55.82993270000001, 47.64510870000001 55.33553010000001, 47.66994290000001 55.2142135, 48.012036200000004 55.2897866, 48.01160439999999 54.9855305, 47.8235394 54.803411499999996, 47.39792739999999 54.892569300000005, 47.2678667 54.6734858, 47.29080870000001 54.67426739999999, 47.355589499999994 54.627395400000005, 47.4245617 54.49854520000001, 48.10341520000001 54.76652320000001, 48.88174139999999 54.625206000000006, 49.288298600000005 54.8914462, 49.5601472 54.562065000000004, 50.0924594 54.506599800000004, 50.95126049999999 54.3426393, 51.388873 54.677156200000006, 52.09254250000001 54.32830200000001, 52.431903399999996 54.474154, 52.568276000000004 54.3401279, 53.0562969 54.3527385, 53.062389 54.06537680000001, 53.5006057 54.0561286))	8	Tatarstan	4001941	4004809	−0.07%	67847	58.98
Калмыкия	Kalmykia	POLYGON ((47.29360880000001 44.7188913, 47.8268033 45.262264200000004, 47.5203414 45.66065530000001, 46.8140589 45.5653878, 46.295432300000016 45.9144253, 46.4008324 46.320618100000004, 46.964672900000004 46.4454705, 46.962177600000004 46.9742199, 46.5362576 47.4034067, 46.8731427 47.548898, 46.2672072 47.4207447, 45.7566315 48.001332600000005, 44.96097830000001 48.27085580000001, 44.80976739999999 48.0506324, 44.3264088 48.23879680000001, 44.392011800000006 47.889482799999996, 43.7168348 47.7190015, 43.711218 47.4742256, 43.93951290000001 47.25875010000001, 44.13513200000001 47.544900999999996, 44.312238300000004 47.47787149999999, 44.26594830000001 46.9094657, 43.812758 46.571863799999996, 43.9587354 46.3191021, 43.73883520000001 46.4080468, 43.63033670000001 46.175383800000006, 43.3392286 46.167136400000004, 42.9317296 46.4469146, 42.049722700000004 46.5461641, 42.170370000000005 46.297813700000006, 41.6368226 46.187355600000004, 41.71441 45.9824283, 42.15156939999999 45.9430799, 42.3219373 46.135449300000005, 42.3180347 45.969723900000005, 42.5567887 46.0080411, 42.93178739999999 46.2360616, 43.9152155 45.9465956, 44.3159918 45.552748900000005, 45.70511590000002 44.9773628, 47.29360880000001 44.7188913))	78	Kalmykia	264210	267133	−1.09%	74731	3.54
Санкт-Петербург	Saint Petersburg	POLYGON ((30.7596912 59.754174, 30.3632337 60.09201600000001, 29.4298103 60.1895376, 30.254172 59.6337832, 30.7596912 59.754174))	4	Saint Petersburg	5598486	5601911	−0.06%	1403	3990.37
Нижегородская область	Nizhny Novgorod Oblast	POLYGON ((46.721544300000005 56.963392500000005, 46.7529334 57.521511000000004, 47.48136459999999 57.515179, 47.771781 57.8887174, 46.344929699999994 58.06221810000001, 45.6137687 57.918750900000006, 44.8690062 58.076712400000005, 44.3652854 57.52833710000001, 43.8533936 57.41748499999999, 43.50931430000001 57.60541430000001, 43.303310800000006 57.42873660000001, 43.086268 57.147873399999995, 43.3005965 56.8208312, 42.8708136 56.8094286, 42.89728709999999 56.4703421, 42.6141822 56.4067341, 42.96691890000001 56.145462300000005, 42.1287844 55.67835330000001, 41.79276330000001 55.10142, 42.4854902 55.009354900000005, 42.442326 54.82539860000001, 42.433575100000006 54.793561200000006, 42.4443206 54.79835400000001, 43.0860259 54.774787399999994, 43.3820104 54.9591967, 44.5861504 54.4715083, 45.096090700000005 54.4676512, 45.02639980000001 54.73595370000001, 45.4864021 55.1122678, 46.062037200000006 55.0477131, 46.3892197 55.4276508, 45.916441799999994 55.6680274, 46.185250100000005 56.0316178, 45.627050800000006 56.568021300000005, 45.9705241 56.8706623, 46.721544300000005 56.963392500000005))	12	Nizhny Novgorod Oblast	3081002	3119115	−1.22%	76624	40.21
Ленинградская область	Leningrad oblast	POLYGON ((35.697878800000005 61.2074009, 33.57575670000001 61.218895800000006, 33.8128408 60.9470585, 33.4490509 61.003278, 32.91469659999999 60.6795685, 29.3059283 61.3292931, 27.4550934 60.22353400000001, 26.4401694 59.938375400000005, 26.915 59.6316661, 28.1955729 59.397637499999995, 27.7377645 58.977889999999995, 29.033775400000003 58.83277220000001, 29.895706799999996 58.4499903, 30.135006100000002 58.7490977, 30.6913996 58.716892900000005, 31.964321799999997 59.4327634, 32.4515951 59.108135300000015, 33.0051865 59.42653330000001, 34.72236260000001 59.0848519, 35.60557380000001 59.61438149999999, 35.140137900000006 60.042845, 35.175541300000006 60.7700717, 35.697878800000005 61.2074009), (30.7596912 59.754174, 30.254172 59.6337832, 29.4298103 60.1895376, 30.3632337 60.09201600000001, 30.7596912 59.754174))	23	Leningrad Oblast	2027068	2000997	+1.30%	83908	24.16
Кировская область	Kirov Oblast	POLYGON ((53.78559930000001 58.4555384, 53.90291620000001 59.0868358, 53.22274420000001 59.3584558, 53.62563610000001 60.1142326, 52.317282299999995 60.227188000000005, 51.97386939999999 60.27933390000001, 51.467194 59.915572600000004, 51.1790655 60.0488917, 49.9868683 59.76970680000001, 49.817400199999994 59.21053520000001, 49.5238455 59.216619900000005, 49.101547399999994 59.661698900000005, 48.5232237 59.7068443, 48.7850891 60.352692, 48.41967749999999 60.8372063, 47.1931804 61.06739290000001, 47.072163700000004 60.84448059999999, 46.76302530000001 60.2336791, 46.263783700000005 60.2371544, 46.59830770000001 60.064513500000004, 47.0347724 60.126380600000005, 47.117822399999994 59.598968600000006, 47.048947 59.3693207, 47.639514600000005 58.916855399999996, 46.6580633 58.5884972, 46.344929699999994 58.06221810000001, 47.771781 57.8887174, 47.48136459999999 57.515179, 46.7529334 57.521511000000004, 46.721544300000005 56.963392500000005, 47.26530620000001 56.807166699999996, 48.32893610000001 57.166090000000004, 48.9493743 57.0826018, 49.1737275 57.3428361, 49.2416858 57.045668, 49.69538300000001 57.0577191, 50.08142349999999 56.6111768, 50.3456924 56.6746609, 50.87548759999999 56.19621220000001, 51.4440082 56.12737580000001, 51.1276926 56.5118283, 51.53623210000001 56.8852293, 51.1241646 57.2432772, 51.9549124 57.7646255, 51.7870137 58.3618318, 53.09898090000001 58.5458421, 53.2136919 58.40136139999999, 53.78559930000001 58.4555384))	41	Kirov Oblast	1138200	1153680	−1.34%	120374	9.46
Костромская область	Kostroma Oblast	POLYGON ((46.344929699999994 58.06221810000001, 46.6580633 58.5884972, 47.639514600000005 58.916855399999996, 47.048947 59.3693207, 47.117822399999994 59.598968600000006, 46.40891080000001 59.618645300000004, 45.9790284 59.171648499999996, 45.0396438 59.121812500000004, 43.534961599999995 59.17850000000001, 43.504047899999996 59.30588769999999, 42.86653210000001 59.16117270000001, 42.034862499999996 59.42954890000001, 42.0574483 59.122894800000005, 41.19000580000001 58.9560259, 40.9300717 58.57633560000001, 41.19349820000001 58.3410022, 40.5976725 57.8971095, 40.43046399999999 57.2858292, 41.5673867 57.4525305, 41.601877699999996 57.740503800000006, 42.21053990000001 57.55486619999999, 42.82850290000001 57.682636300000006, 42.88478969999999 57.3743596, 43.1857677 57.577288599999996, 43.303310800000006 57.42873660000001, 43.50931430000001 57.60541430000001, 43.8533936 57.41748499999999, 44.3652854 57.52833710000001, 44.8690062 58.076712400000005, 45.6137687 57.918750900000006, 46.344929699999994 58.06221810000001))	68	Kostroma Oblast	571785	580976	−1.58%	60211	9.5
Брянская область	Bryansk Oblast	POLYGON ((34.924192600000005 52.369987699999996, 35.1117912 52.6976832, 34.791971200000006 52.865706, 35.28638230000001 53.0219672, 35.1410996 53.27912260000001, 34.637942800000005 53.38316139999999, 34.2011817 53.912152400000004, 33.5071262 54.0162959, 32.76278090000001 53.4242773, 32.236073000000005 53.09916870000001, 31.62835 53.23108, 31.243399999999998 53.03435, 31.59076 52.78699, 31.68732 52.19424, 32.09632390000001 52.0336273, 32.376832300000004 52.337308300000004, 33.8233298 52.364174399999996, 34.3855484 51.8430753, 34.924192600000005 52.369987699999996))	40	Bryansk Oblast	1152633	1169161	−1.41%	34857	33.07
Псковская область	Pskov Oblast	POLYGON ((31.483133699999996 55.718642300000006, 31.517860300000006 56.3060893, 30.728386799999996 56.7807657, 30.978756799999996 56.969897399999994, 30.688803 56.9828498, 30.745662799999995 57.263207900000005, 30.414743599999998 57.387103399999994, 30.533575300000003 57.8731627, 29.6287755 58.100213700000005, 29.895706799999996 58.4499903, 29.033775400000003 58.83277220000001, 27.7377645 58.977889999999995, 27.3573366 58.787221699999996, 27.817786 57.8656718, 27.317455300000006 57.5799842, 27.8673058 57.297210400000004, 27.6594447 56.8343655, 27.968909699999998 56.8357245, 28.157426700000002 56.14317580000001, 29.422612799999992 55.96893120000001, 29.513644199999998 55.7014306, 30.1656387 55.8789968, 30.925132399999995 55.62262520000001, 31.483133699999996 55.718642300000006))	66	Pskov Oblast	587518	599084	−1.93%	55399	10.61
Саратовская область	Saratov Oblast	POLYGON ((47.4314503 50.3779161, 47.649019100000004 50.4481861, 48.226192200000014 49.868056, 48.745618500000006 49.921354, 48.57062749999999 50.63236500000001, 49.422907900000006 50.8486852, 49.45658099999999 51.12617770000001, 50.3739105 51.332945, 50.585143900000006 51.645853300000006, 50.8120335 51.5850431, 50.76816280000001 51.773036600000005, 49.570031 52.39593580000001, 48.8817148 52.40825220000001, 48.30789749999999 52.683012000000005, 48.428632400000005 52.814406899999994, 47.831697899999995 52.74321880000001, 47.72409520000001 52.56843870000001, 46.8010702 52.6208276, 46.5776258 52.72559080000001, 45.961038900000005 52.39679290000001, 45.64055200000001 52.5077263, 45.07557080000001 52.30709409999999, 44.53259130000001 52.532595500000006, 44.319918300000005 52.2912662, 43.03970590000001 52.370634599999995, 42.5208613 51.596121700000005, 42.88089399999999 51.23302520000001, 43.35707539999999 50.998831800000005, 44.865186300000005 51.1712131, 45.30488109999999 50.913985399999994, 45.19255350000001 50.585635200000006, 45.6843449 50.5756236, 45.8422659 50.75617820000001, 46.27841300000001 50.5276966, 46.718491300000004 50.7114924, 47.4314503 50.3779161))	19	Saratov Oblast	2404198	2442575	−1.57%	101240	23.75
Пензенская область	Penza Oblast	POLYGON ((46.8010702 52.6208276, 46.908163300000005 53.3626054, 45.813633499999995 53.97571590000001, 44.832570200000006 53.9640607, 44.49897590000001 53.6431667, 43.5363672 54.014555200000004, 42.727085 53.7394945, 42.35096939999999 53.853729099999995, 42.1436297 53.802798100000004, 42.236842200000005 53.359372300000004, 43.2480873 52.63634020000001, 43.03970590000001 52.370634599999995, 44.319918300000005 52.2912662, 44.53259130000001 52.532595500000006, 45.07557080000001 52.30709409999999, 45.64055200000001 52.5077263, 45.961038900000005 52.39679290000001, 46.5776258 52.72559080000001, 46.8010702 52.6208276))	35	Penza Oblast	1246367	1266348	−1.58%	43352	28.75
Липецкая область	Lipetsk Oblast	POLYGON ((40.5341401 51.945692300000005, 40.73343500000001 52.2512468, 39.915693999999995 52.708850700000006, 40.1706936 53.31262149999999, 39.7577654 53.5866538, 39.3268822 53.3912507, 38.9375218 53.5741746, 38.5315744 53.3076191, 38.565862900000006 52.9910798, 37.8664693 53.0122167, 37.72216880000001 52.5948457, 38.0672135 52.3302132, 37.738034500000005 52.019084299999996, 38.29261060000001 51.9659404, 39.29977190000001 52.1031845, 39.81612439999999 51.9202915, 40.5341401 51.945692300000005))	43	Lipetsk Oblast	1125921	1143224	−1.51%	24047	46.82
Амурская область	Amur Oblast	POLYGON ((131.42002810000002 49.255453100000004, 131.45502430000002 50.1892348, 131.3048387 50.3764598, 130.9421234 50.362336600000006, 130.9679053 50.647710200000006, 130.64475159999995 50.66200190000001, 130.7654321 50.99279090000001, 131.49044300000003 51.3467111, 131.4009112 51.6919478, 132.2865161 51.8045336, 132.8181342 52.1834119, 133.42044970000003 52.233701, 133.26214230000002 52.68223210000001, 134.60064359999998 52.4254413, 134.92091280000002 53.26072020000001, 134.5327692 53.62170880000001, 134.0463096 53.4471461, 133.4125496 53.5168487, 132.8618931 53.23525330000001, 131.44154880000002 53.22131540000001, 131.44413880000002 53.73917300000001, 130.4293456 53.89186959999999, 130.511178 54.12241560000001, 131.11991169999996 54.3350838, 131.17126019999998 54.6364205, 132.97185109999998 55.4060293, 132.4410574 55.7427815, 130.95276800000002 55.712176500000005, 129.49637930000003 55.76914610000001, 128.7859391 55.48767149999999, 127.73370879999999 55.731275600000004, 127.45877549999999 55.578030500000004, 127.1869557 55.7176958, 126.0960922 55.5897802, 125.8463951 55.8022882, 124.50588729999998 55.88464809999999, 123.9208059 56.387864599999986, 122.884679 56.59638210000001, 122.5715967 56.485401599999996, 122.1639431 56.746190500000004, 121.6103104 56.73824280000001, 121.40558960000001 56.9855286, 119.8561397 56.8960791, 119.80159490000001 56.59050810000001, 120.53554340000001 56.2874917, 120.036595 56.1559565, 120.1194427 55.866488, 121.20358460000001 56.041152700000005, 121.3420169 55.522041300000005, 121.77155640000001 55.632845800000005, 121.99111420000003 55.5072556, 121.9596487 55.00053210000001, 121.6403283 54.764773600000005, 121.9077453 54.810765499999995, 122.144886 54.4480808, 121.68954839999999 54.4049399, 121.62599149999998 54.092671, 122.111783 53.431496499999994, 123.61203019999999 53.5477673, 124.86206879999999 53.0990217, 125.6143374 53.0780475, 126.55423160000001 52.130324200000004, 127.6872401 49.667035000000006, 128.7527745 49.593385000000005, 129.0734497 49.353596399999994, 129.50065299999997 49.4246771, 130.22429549999998 48.865247, 130.6299698 48.881454299999994, 131.42002810000002 49.255453100000004))	60	Amur Oblast	756272	766912	−1.39%	361908	2.09
Северная Осетия - Алания	North Ossetia–Alania	POLYGON ((44.6799687 42.755909900000006, 44.9600242 43.041069099999994, 44.4807386 43.5158439, 44.8479393 43.56553380000001, 44.833204599999995 43.6817992, 44.79372790000001 43.81699699999999, 44.29252300000001 43.809673, 44.4422421 43.427733, 44.1056827 43.43106469999999, 44.0030517 43.21239390000001, 43.829874499999995 43.3232655, 43.3984872 42.8969234, 43.964510000000004 42.546937, 44.6799687 42.755909900000006))	63	North Ossetia–Alania	680605	687357	−0.98%	7987	85.21
Дагестан	Dagestan	POLYGON ((45.773526100000005 42.4882012, 45.60861200000001 42.21231300000001, 46.7599041 41.861688799999996, 47.556836 41.198513800000015, 47.88560939999999 41.2194184, 48.8140959 41.95029469999999, 47.777339600000005 43.1377219, 48.1194772 44.06595240000001, 47.6635877 44.21037330000001, 47.755791900000006 44.6180041, 47.1647917 44.6052575, 47.29360880000001 44.7188913, 45.70511590000002 44.9773628, 45.239471800000004 44.5567733, 45.3715098 44.290144500000004, 45.103421499999996 44.19090810000001, 45.5029861 44.1756877, 45.4906809 44.0076503, 46.078290700000004 43.81716739999999, 46.4401773 44.00212630000001, 46.662041200000004 43.8362951, 46.3275714 43.4497803, 46.533858800000004 42.9234564, 46.18331080000001 42.88782899999999, 45.773526100000005 42.4882012))	10	Dagestan	3209799	3182054	+0.87%	50270	63.85
Чеченская республика	Chechnya	POLYGON ((45.773526100000005 42.4882012, 46.18331080000001 42.88782899999999, 46.533858800000004 42.9234564, 46.3275714 43.4497803, 46.662041200000004 43.8362951, 46.4401773 44.00212630000001, 46.078290700000004 43.81716739999999, 45.4906809 44.0076503, 45.4384542 43.8758653, 45.0539422 43.9582513, 45.0656947 43.72032380000001, 44.833204599999995 43.6817992, 44.8479393 43.56553380000001, 45.158521 43.4110355, 45.086794 42.712221, 45.773526100000005 42.4882012))	29	Chechnya	1532205	1510824	+1.42%	16165	94.78
Хабаровский край	Khabarovsk Krai	MULTIPOLYGON (((143.72082690000002 56.4469403, 143.2629718 56.580624699999994, 143.0665385 56.341356399999995, 143.53829130000003 56.235269900000006, 143.72082690000002 56.4469403)), ((139.56892940000003 54.6220474, 139.2500199 54.80781459999999, 138.8969514 54.63910560000001, 139.22224130000004 54.4170829, 139.56892940000003 54.6220474)), ((146.9124744 59.146533700000006, 147.1160253 59.8888139, 146.38158860000001 60.2489624, 145.85741110000004 60.1702718, 145.5250051 60.4555404, 146.08172150000001 60.73603890000001, 146.4440248 60.671125, 146.74037059999998 61.46803270000001, 145.96541820000002 62.004494099999995, 144.7364197 62.0454828, 144.22374299999998 61.727803300000005, 143.22969339999997 62.1174713, 142.4505708 61.871580099999996, 140.7879826 62.5262885, 139.5537578 61.4736093, 138.33645950000002 61.1074316, 138.2084782 59.6433843, 138.03117459999999 59.824763399999995, 137.6215997 59.7496087, 136.76307459999995 59.3372422, 135.6875359 59.5086745, 135.17775529999997 59.111138600000004, 133.5134422 59.312381499999994, 132.82748350000003 59.1180643, 132.43091750000002 58.51085439999999, 132.1399293 58.51486249999999, 132.13723930000003 58.0802304, 131.44427359999997 58.182402800000006, 132.0712133 57.6870752, 131.60875069999997 57.3093624, 131.1217023 57.2594065, 131.8371121 56.76952220000001, 131.731299 56.4736108, 131.1036288 56.4099364, 130.95276800000002 55.712176500000005, 132.4410574 55.7427815, 132.97185109999998 55.4060293, 131.17126019999998 54.6364205, 131.11991169999996 54.3350838, 130.511178 54.12241560000001, 130.4293456 53.89186959999999, 131.44413880000002 53.73917300000001, 131.44154880000002 53.22131540000001, 132.8618931 53.23525330000001, 133.4125496 53.5168487, 134.0463096 53.4471461, 134.5327692 53.62170880000001, 134.92091280000002 53.26072020000001, 134.60064359999998 52.4254413, 133.26214230000002 52.68223210000001, 133.42044970000003 52.233701, 132.8181342 52.1834119, 132.2865161 51.8045336, 131.4009112 51.6919478, 131.49044300000003 51.3467111, 130.7654321 50.99279090000001, 130.64475159999995 50.66200190000001, 130.9679053 50.647710200000006, 130.9421234 50.362336600000006, 131.3048387 50.3764598, 131.45502430000002 50.1892348, 131.42002810000002 49.255453100000004, 131.98862840000004 49.255894, 132.24097559999996 49.4891827, 132.3850112 49.29599310000001, 133.05522670000002 49.2146386, 133.5892766 48.72950260000001, 134.95061660000002 48.62655730000001, 134.7671243 48.37120109999999, 134.54362849999998 47.988755100000006, 134.7703977 47.71513550000001, 134.1693339 47.3183854, 134.0056443 46.6549283, 134.4327455 46.6974972, 134.43210700000003 46.966705000000005, 135.0887747 47.21428399999999, 135.361515 46.9207174, 136.6189204 46.794980300000006, 137.0469939 47.28919820000001, 137.46518650000002 47.2094468, 138.0778571 47.5119821, 138.05633230000004 47.6958671, 137.413487 47.8058032, 137.6057428 47.92259800000001, 137.30826720000002 48.104368, 138.30799900000002 48.4645449, 138.83223230000004 47.867079399999994, 138.54141130000002 47.476284299999996, 139.3093931 47.31087899999999, 140.46368909999998 48.3966325, 140.99575009999998 50.066853200000004, 140.80495499999998 50.74227280000001, 141.41440459999998 51.56133280000001, 141.708374 53.2382876, 141.4682567 53.59107830000001, 140.91198509999998 53.735472400000006, 139.9704697 54.529482800000004, 139.24866199999997 54.382512600000005, 138.7861325 54.5020668, 138.5599811 55.2731847, 137.58366019999997 55.3942426, 136.04992219999997 55.0043032, 138.50600569999997 56.296264300000004, 142.638925 59.023140600000005, 145.2629762 59.185, 146.05422680000004 58.9415787, 146.9124744 59.146533700000006)))	34	Khabarovsk Krai	1283992	1292944	−0.69%	787633	1.63
Магаданская область	Magadan Oblast	POLYGON ((160.8453558 60.2835261, 162.00211630000004 60.8668293, 162.46644940000004 61.66573380000001, 162.5244722 62.083215300000006, 162.16287549999998 62.1662808, 162.7353409 62.265161400000004, 162.82742950000005 62.66117010000001, 162.2608133 62.952978800000004, 162.97103850000002 63.4803691, 162.80853780000004 64.1295534, 163.49569369999998 64.3581298, 163.2648238 64.69333869999998, 161.8481135 64.8246414, 161.31770419999998 65.1484907, 160.5019784 65.17803849999997, 160.0926818 65.5022327, 158.91085549999997 65.74046340000002, 159.23257069999997 66.23213940000001, 158.5434444 66.3352353, 158.507274 66.0954102, 157.7386245 66.0986418, 157.3351585 65.89182720000001, 156.67400379999998 66.18904309999999, 156.43315539999998 66.0339168, 154.3958691 66.1838449, 154.2653459 65.80533149999998, 153.53115640000001 65.8095943, 153.5005334 65.34573649999999, 152.71737359999997 65.2211828, 152.5187138 64.9163838, 152.84673650000002 64.69996760000001, 152.34643600000004 64.3673966, 151.9661677 64.4885866, 150.63959039999997 64.3377412, 150.5488196 64.16633199999998, 149.93655549999997 64.5517407, 149.3394921 64.37675469999999, 148.327615 64.5280792, 148.0183431 63.93613570000001, 147.64377359999995 64.17800129999998, 147.29461519999995 64.0187287, 146.37153640000002 64.1917258, 145.56750680000002 63.807865199999995, 145.24931949999998 63.1597037, 145.48438960000001 62.540134200000004, 144.7364197 62.0454828, 145.96541820000002 62.004494099999995, 146.74037059999998 61.46803270000001, 146.4440248 60.671125, 146.08172150000001 60.73603890000001, 145.5250051 60.4555404, 145.85741110000004 60.1702718, 146.38158860000001 60.2489624, 147.1160253 59.8888139, 146.9124744 59.146533700000006, 151.34099750000001 58.6375291, 155.6589666 59.0073344, 155.9709133 59.3831919, 154.9770914 59.6986677, 154.9831344 60.0510156, 156.2275909 60.5804481, 157.236201 61.4175803, 158.76647509999998 61.6152495, 159.42429280000002 61.39146459999999, 159.3850667 60.8945094, 159.82829670000004 60.45251210000001, 160.8453558 60.2835261))	81	Magadan Oblast	134568	136085	−1.11%	462464	0.29
Ямало-Ненецкий автономный округ	Yamalo-Nenets Autonomous Okrug	POLYGON ((84.44085950000002 62.19565670000001, 85.61858879999998 63.0314808, 85.70670609999999 63.357467599999985, 85.0233936 63.5822888, 85.96704580000001 64.0485007, 85.9057527 64.5988179, 85.72150400000001 64.8280147, 84.27103149999999 64.93621040000002, 84.5278497 65.45772720000001, 83.47350490000001 65.81452920000002, 83.3277097 66.658633, 82.11714350000001 67.2339971, 82.39684079999999 67.52574289999998, 81.72452630000001 67.8939813, 82.36203739999999 67.93989360000002, 82.686904 68.33387679999998, 82.46494700000001 69.15292769999999, 81.835159 69.1985977, 81.7143281 69.4551107, 80.96086690000001 69.20042720000001, 79.8243947 69.3455358, 79.0421479 69.6954437, 79.33337209999998 70.1496505, 80.88918509999999 70.43796280000001, 80.5839824 71.0431888, 79.17529209999998 71.332855, 80.38106940000002 71.87525879999998, 78.55238599999998 72.2007633, 77.729901 73.6395386, 75.4597257 73.70518990000001, 73.89543499999999 73.26274179999999, 72.21028090000001 73.33812440000001, 70.98479970000001 73.67314749999998, 69.4700853 73.50825090000001, 67.8173345 71.83072920000001, 66.4163061 71.38201749999999, 65.871234 70.8825666, 66.38646729999999 70.1099553, 64.96504420000001 69.56391920000002, 64.55726070000001 68.86761560000002, 65.3988332 68.7926358, 65.47401690000001 68.41795450000002, 65.35490340000001 67.95239509999999, 66.0766097 67.93881400000001, 66.25168590000001 67.7339129, 65.7857897 67.6420544, 66.01017879999999 67.40910790000001, 65.1813657 67.15002340000001, 65.13129640000001 66.90450150000001, 63.4184823 66.46661720000002, 62.8230843 65.86661480000001, 62.0004438 65.71773560000001, 62.8721144 65.2905891, 62.557642699999995 64.55854699999999, 63.4775176 64.4561453, 63.504339800000004 64.291577, 66.1990862 64.59069620000001, 66.9550033 64.51749340000002, 66.8384096 64.21146930000002, 67.783301 64.01919540000002, 68.45210320000001 64.2882898, 68.91281310000001 64.22472060000001, 68.85847199999998 64.4385393, 70.2923037 64.3425143, 70.7709339 64.19111330000001, 70.5589034 64.0152818, 70.9226917 63.70279220000001, 71.4558562 63.68330830000001, 71.64548409999999 63.19275170000001, 73.05429720000001 63.4267915, 74.5243218 63.0363641, 76.66694229999999 63.0348098, 78.0929057 62.4640984, 79.8434403 62.60855680000001, 81.03576749999999 63.147627699999994, 81.74117530000001 62.7050047, 82.76186370000002 62.7494462, 83.3242477 62.458029499999995, 83.81402840000001 62.56987590000001, 84.44085950000002 62.19565670000001))	72	Yamalo Nenets A.O.	511874	510490	+0.27%	769250	0.67
Ханты-Мансийский автономный округ - Югра	Khanty-Mansiysk Autonomous Okrug – Ugra	POLYGON ((84.26310990000002 60.862517600000004, 85.9766731 61.4826099, 84.67791509999999 61.80813030000001, 84.44085950000002 62.19565670000001, 83.81402840000001 62.56987590000001, 83.3242477 62.458029499999995, 82.76186370000002 62.7494462, 81.74117530000001 62.7050047, 81.03576749999999 63.147627699999994, 79.8434403 62.60855680000001, 78.0929057 62.4640984, 76.66694229999999 63.0348098, 74.5243218 63.0363641, 73.05429720000001 63.4267915, 71.64548409999999 63.19275170000001, 71.4558562 63.68330830000001, 70.9226917 63.70279220000001, 70.5589034 64.0152818, 70.7709339 64.19111330000001, 70.2923037 64.3425143, 68.85847199999998 64.4385393, 68.91281310000001 64.22472060000001, 68.45210320000001 64.2882898, 67.783301 64.01919540000002, 66.8384096 64.21146930000002, 66.9550033 64.51749340000002, 66.1990862 64.59069620000001, 63.504339800000004 64.291577, 63.4775176 64.4561453, 62.557642699999995 64.55854699999999, 62.8721144 65.2905891, 62.0004438 65.71773560000001, 60.729440200000006 64.9255054, 60.2178509 65.07934089999999, 59.62463210000001 64.8032661, 59.8369472 64.08714420000001, 59.20379390000001 63.027596700000004, 59.635446800000004 62.5484543, 59.4866989 61.9460689, 62.4835549 61.26097310000001, 63.8743126 59.461300900000005, 65.07186060000001 59.31186579999999, 65.95045990000001 58.6145443, 66.7852384 58.656545300000005, 66.77247189999999 58.923282, 68.26143160000001 59.23810910000001, 68.57347669999999 59.5885867, 69.3090014 59.769649, 69.2697621 59.9895586, 71.17932789999999 59.9070663, 72.52471249999999 59.1479032, 72.9756191 59.12638200000001, 73.0248098 58.87492769999999, 75.1312975 58.6638893, 75.7011482 58.9685844, 75.89866590000001 59.3999054, 76.6648877 59.571174, 77.1104824 60.8585195, 79.2129471 60.8262717, 79.39026640000002 60.6348629, 80.7048373 60.8027794, 82.1673052 60.5163396, 83.1566832 61.02679510000001, 84.26310990000002 60.862517600000004))	27	Khanty–Mansi A.O. (Yugra)	1729472	1711480	+1.05%	534801	3.23
